System.TimeCreated_attributes.SystemTime,EventData.Binary,EventData.Data,System.Channel,System.Computer,System.Correlation,System.EventID,System.EventID_attributes.Qualifiers,System.EventRecordID,System.Execution_attributes.ProcessID,System.Execution_attributes.ThreadID,System.Keywords,System.Level,System.Opcode,System.Provider_attributes.EventSourceName,System.Provider_attributes.Guid,System.Provider_attributes.Name,System.Security,System.Task,System.Version
2023-02-10T07:30:06.774131Z,,,Application,WIN-4CKB6CSHOSJ,,9027,16384,123,,,0x80000000000000,4,,,,Desktop Window Manager,,0,
2023-02-10T07:31:53.964947Z,,,Application,WIN-4CKB6CSHOSJ,,16394,49152,124,0,0,0x80000000000000,4,0,Software Protection Platform Service,{E23B33B0-C8C9-472C-A5F9-F2BDFEA0F156},Microsoft-Windows-Security-SPP,,0,0
2023-02-10T07:32:24.420719Z,,"['2023-07-09T04:47:24Z', 'RulesEngine']",Application,WIN-4CKB6CSHOSJ,,16384,16384,125,0,0,0x80000000000000,4,0,Software Protection Platform Service,{E23B33B0-C8C9-472C-A5F9-F2BDFEA0F156},Microsoft-Windows-Security-SPP,,0,0
2023-02-10T07:32:30.096779Z,,,Application,WIN-4CKB6CSHOSJ,,16394,49152,126,0,0,0x80000000000000,4,0,Software Protection Platform Service,{E23B33B0-C8C9-472C-A5F9-F2BDFEA0F156},Microsoft-Windows-Security-SPP,,0,0
2023-02-10T07:33:00.654217Z,,"['2023-07-09T04:48:00Z', 'RulesEngine']",Application,WIN-4CKB6CSHOSJ,,16384,16384,127,0,0,0x80000000000000,4,0,Software Protection Platform Service,{E23B33B0-C8C9-472C-A5F9-F2BDFEA0F156},Microsoft-Windows-Security-SPP,,0,0
2023-02-10T07:36:35.564059Z,,,Application,WIN-4CKB6CSHOSJ,,9027,16384,128,,,0x80000000000000,4,,,,Desktop Window Manager,,0,
2023-02-10T07:43:43.163189Z,,,Application,WIN-4CKB6CSHOSJ,,9027,16384,129,,,0x80000000000000,4,,,,Desktop Window Manager,,0,
2023-02-10T07:52:26.413475Z,,,Application,WIN-4CKB6CSHOSJ,,9027,16384,130,,,0x80000000000000,4,,,,Desktop Window Manager,,0,
2023-02-10T08:01:54.484596Z,,,Application,WIN-4CKB6CSHOSJ,,16394,49152,131,0,0,0x80000000000000,4,0,Software Protection Platform Service,{E23B33B0-C8C9-472C-A5F9-F2BDFEA0F156},Microsoft-Windows-Security-SPP,,0,0
2023-02-10T08:02:03.956149Z,,,Application,WIN-4CKB6CSHOSJ,,9027,16384,132,,,0x80000000000000,4,,,,Desktop Window Manager,,0,
2023-02-10T08:02:24.998794Z,,"['2023-07-09T04:47:24Z', 'RulesEngine']",Application,WIN-4CKB6CSHOSJ,,16384,16384,133,0,0,0x80000000000000,4,0,Software Protection Platform Service,{E23B33B0-C8C9-472C-A5F9-F2BDFEA0F156},Microsoft-Windows-Security-SPP,,0,0
