System.TimeCreated_attributes.SystemTime,EventData.CommandLine,EventData.Company,EventData.CreationUtcTime,EventData.CurrentDirectory,EventData.Description,EventData.DestinationHostname,EventData.DestinationIp,EventData.DestinationIsIpv6,EventData.DestinationPort,EventData.DestinationPortName,EventData.Details,EventData.EventType,EventData.FileVersion,EventData.Hashes,EventData.Image,EventData.Initiated,EventData.IntegrityLevel,EventData.LogonGuid,EventData.LogonId,EventData.OriginalFileName,EventData.ParentCommandLine,EventData.ParentImage,EventData.ParentProcessGuid,EventData.ParentProcessId,EventData.ParentUser,EventData.ProcessGuid,EventData.ProcessId,EventData.Product,EventData.Protocol,EventData.RuleName,EventData.SourceHostname,EventData.SourceIp,EventData.SourceIsIpv6,EventData.SourcePort,EventData.SourcePortName,EventData.TargetFilename,EventData.TargetObject,EventData.TerminalSessionId,EventData.User,EventData.UtcTime,System.Channel,System.Computer,System.Correlation,System.EventID,System.EventRecordID,System.Execution_attributes.ProcessID,System.Execution_attributes.ThreadID,System.Keywords,System.Level,System.Opcode,System.Provider_attributes.Guid,System.Provider_attributes.Name,System.Security_attributes.UserID,System.Task,System.Version
2023-02-10T07:30:05.822304Z,\SystemRoot\System32\smss.exe 000000c4 00000084 ,Microsoft Corporation,,C:\Windows\,Windows Session Manager,,,,,,,,10.0.17763.1911 (WinBuild.160101.0800),"MD5=D509E4899A815B97E7E118D8BA56C2DB,SHA256=FAC9407ADDEE9DEB1D07CAE8F11E13CB5F4B99CFD87894A52747524C212E1C28,IMPHASH=DAECAD3A22D7A4FCCEA51C3FCE711183",C:\Windows\System32\smss.exe,,System,FF8B6A41-D5BF-63E5-E703-000000000000,0x3e7,smss.exe,-,-,00000000-0000-0000-0000-000000000000,340,-,FF8B6A41-F27D-63E5-4801-000000000200,6260,MicrosoftÂ® WindowsÂ® Operating System,,-,,,,,,,,2,NT AUTHORITY\SYSTEM,2023-02-10 07:30:05.815,Microsoft-Windows-Sysmon/Operational,WIN-4CKB6CSHOSJ,,1,631,2964,4368,0x8000000000000000,4,0,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,S-1-5-18,1,5
2023-02-10T07:30:05.849865Z,"%%SystemRoot%%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",Microsoft Corporation,,C:\Windows\system32\,Client Server Runtime Process,,,,,,,,10.0.17763.1 (WinBuild.160101.0800),"MD5=7D64128BC1EECE41196858897596EBC8,SHA256=FB40ED0FFA6BC795923A941DAB6B7D6B43583D0F152A6DF4D8953D2C1A0CB417,IMPHASH=A96FA9912E09E361274AD77F1A4B252C",C:\Windows\System32\csrss.exe,,System,FF8B6A41-D5BF-63E5-E703-000000000000,0x3e7,CSRSS.Exe,\SystemRoot\System32\smss.exe 000000c4 00000084 ,C:\Windows\System32\smss.exe,FF8B6A41-F27D-63E5-4801-000000000200,6260,NT AUTHORITY\SYSTEM,FF8B6A41-F27D-63E5-4901-000000000200,3744,MicrosoftÂ® WindowsÂ® Operating System,,-,,,,,,,,2,NT AUTHORITY\SYSTEM,2023-02-10 07:30:05.845,Microsoft-Windows-Sysmon/Operational,WIN-4CKB6CSHOSJ,,1,632,2964,4368,0x8000000000000000,4,0,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,S-1-5-18,1,5
2023-02-10T07:30:05.897212Z,winlogon.exe,Microsoft Corporation,,C:\Windows\system32\,Windows Logon Application,,,,,,,,10.0.17763.3232 (WinBuild.160101.0800),"MD5=AD8E4B9B4327E5B955BC58094E890592,SHA256=FDB975400480FC9D68F3A9960747CB11993C210F48B916050A8DABE0D2CDFDD9,IMPHASH=B8CB4358207EF605DE290335BAD8DC40",C:\Windows\System32\winlogon.exe,,System,FF8B6A41-D5BF-63E5-E703-000000000000,0x3e7,WINLOGON.EXE,\SystemRoot\System32\smss.exe 000000c4 00000084 ,C:\Windows\System32\smss.exe,FF8B6A41-F27D-63E5-4801-000000000200,6260,NT AUTHORITY\SYSTEM,FF8B6A41-F27D-63E5-4A01-000000000200,5620,MicrosoftÂ® WindowsÂ® Operating System,,-,,,,,,,,2,NT AUTHORITY\SYSTEM,2023-02-10 07:30:05.893,Microsoft-Windows-Sysmon/Operational,WIN-4CKB6CSHOSJ,,1,633,2964,4368,0x8000000000000000,4,0,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,S-1-5-18,1,5
2023-02-10T07:30:05.957549Z,C:\Windows\system32\svchost.exe -k netsvcs -p -s DsmSvc,Microsoft Corporation,,C:\Windows\system32\,Host Process for Windows Services,,,,,,,,10.0.17763.3346 (WinBuild.160101.0800),"MD5=4DD18F001AC31D5F48F50F99E4AA1761,SHA256=2B105FB153B1BCD619B95028612B3A93C60B953EEF6837D3BB0099E4207AAF6B,IMPHASH=247B9220E5D9B720A82B2C8B5069AD69",C:\Windows\System32\svchost.exe,,System,FF8B6A41-D5BF-63E5-E703-000000000000,0x3e7,svchost.exe,C:\Windows\system32\services.exe,C:\Windows\System32\services.exe,FF8B6A41-D5BE-63E5-0B00-000000000200,676,NT AUTHORITY\SYSTEM,FF8B6A41-F27D-63E5-4B01-000000000200,4444,MicrosoftÂ® WindowsÂ® Operating System,,-,,,,,,,,0,NT AUTHORITY\SYSTEM,2023-02-10 07:30:05.954,Microsoft-Windows-Sysmon/Operational,WIN-4CKB6CSHOSJ,,1,634,2964,4368,0x8000000000000000,4,0,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,S-1-5-18,1,5
2023-02-10T07:30:06.019974Z,,,,,,,,,,,10.0.17763.1,SetValue,,,System,,,,,,,,,,,FF8B6A41-D5B8-63E5-EB03-000000000000,4,,,InvDB-DriverVer,,,,,,,HKLM\System\CurrentControlSet\Control\Class\{4d36e96b-e325-11ce-bfc1-08002be10318}\0006\DriverVersion,,NT AUTHORITY\SYSTEM,2023-02-10 07:30:06.008,Microsoft-Windows-Sysmon/Operational,WIN-4CKB6CSHOSJ,,13,635,2964,4368,0x8000000000000000,4,0,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,S-1-5-18,13,2
2023-02-10T07:30:06.112069Z,,,,,,,,,,,10.0.17763.1,SetValue,,,System,,,,,,,,,,,FF8B6A41-D5B8-63E5-EB03-000000000000,4,,,InvDB-DriverVer,,,,,,,HKLM\System\CurrentControlSet\Control\Class\{4d36e96f-e325-11ce-bfc1-08002be10318}\0008\DriverVersion,,NT AUTHORITY\SYSTEM,2023-02-10 07:30:06.102,Microsoft-Windows-Sysmon/Operational,WIN-4CKB6CSHOSJ,,13,636,2964,4368,0x8000000000000000,4,0,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,S-1-5-18,13,2
2023-02-10T07:30:06.642678Z,"""LogonUI.exe"" /flags:0x2 /state0:0xa38a6855 /state1:0x41c64e6d",Microsoft Corporation,,C:\Windows\system32\,Windows Logon User Interface Host,,,,,,,,10.0.17763.1 (WinBuild.160101.0800),"MD5=33F89DD9629CB0422A2C17268376232D,SHA256=9358EF8CB7FB08581D74274005263BD8FA2E6E0FC443930B25FD345CF6CE9071,IMPHASH=B9B0B64B08B38276711093CA94348D39",C:\Windows\System32\LogonUI.exe,,System,FF8B6A41-D5BF-63E5-E703-000000000000,0x3e7,logonui.exe,winlogon.exe,C:\Windows\System32\winlogon.exe,FF8B6A41-F27D-63E5-4A01-000000000200,5620,NT AUTHORITY\SYSTEM,FF8B6A41-F27E-63E5-4E01-000000000200,2040,MicrosoftÂ® WindowsÂ® Operating System,,-,,,,,,,,2,NT AUTHORITY\SYSTEM,2023-02-10 07:30:06.641,Microsoft-Windows-Sysmon/Operational,WIN-4CKB6CSHOSJ,,1,637,2964,4368,0x8000000000000000,4,0,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,S-1-5-18,1,5
2023-02-10T07:30:06.644329Z,"""dwm.exe""",Microsoft Corporation,,C:\Windows\system32\,Desktop Window Manager,,,,,,,,10.0.17763.831 (WinBuild.160101.0800),"MD5=5CE3CCA35D8B19967B25806B7FF69D0F,SHA256=5954A267C8F271798EC0AC18D5F67F21A70B47258B10601511CA2109FFFDCF71,IMPHASH=CC05EDB80F10F1D5E7EC964B8C83F969",C:\Windows\System32\dwm.exe,,System,FF8B6A41-F27E-63E5-D5C3-320000000000,0x32c3d5,dwm.exe,winlogon.exe,C:\Windows\System32\winlogon.exe,FF8B6A41-F27D-63E5-4A01-000000000200,5620,NT AUTHORITY\SYSTEM,FF8B6A41-F27E-63E5-4F01-000000000200,3524,MicrosoftÂ® WindowsÂ® Operating System,,-,,,,,,,,2,Window Manager\DWM-2,2023-02-10 07:30:06.642,Microsoft-Windows-Sysmon/Operational,WIN-4CKB6CSHOSJ,,1,638,2964,4368,0x8000000000000000,4,0,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,S-1-5-18,1,5
2023-02-10T07:30:08.108909Z,C:\Windows\system32\TSTheme.exe -Embedding,Microsoft Corporation,,C:\Windows\system32\,TSTheme Server Module,,,,,,,,10.0.17763.1697 (WinBuild.160101.0800),"MD5=678B049F46799F3FA858CE79376EB7B5,SHA256=C1879B15C38D1C9BB86BCFD08A0B7D8A0809C553F8F1985659D7DA0C883EA4F7,IMPHASH=B70390445EE6DE87340DFE5CB7439893",C:\Windows\System32\TSTheme.exe,,Medium,FF8B6A41-F27F-63E5-C21B-330000000000,0x331bc2,TSThemeS.exe,-,-,00000000-0000-0000-0000-000000000000,840,-,FF8B6A41-F280-63E5-5101-000000000200,688,MicrosoftÂ® WindowsÂ® Operating System,,-,,,,,,,,2,WIN-4CKB6CSHOSJ\gerald,2023-02-10 07:30:08.106,Microsoft-Windows-Sysmon/Operational,WIN-4CKB6CSHOSJ,,1,639,2964,4368,0x8000000000000000,4,0,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,S-1-5-18,1,5
2023-02-10T07:30:08.176004Z,rdpclip,Microsoft Corporation,,C:\Windows\system32\,RDP Clipboard Monitor,,,,,,,,10.0.17763.1697 (WinBuild.160101.0800),"MD5=BFE0CEE883BD55C7691E7C1027E2332B,SHA256=4972CF79E61A6FF0C4EA410D55C7DEB00D7F799EA958946FCC2EE7FABF13FFEB,IMPHASH=E3F33CEBF67721DAC951AFBD20321206",C:\Windows\System32\rdpclip.exe,,Medium,FF8B6A41-F27F-63E5-C21B-330000000000,0x331bc2,rdpclip.exe,C:\Windows\System32\svchost.exe -k termsvcs -s TermService,C:\Windows\System32\svchost.exe,FF8B6A41-D5BF-63E5-1500-000000000200,720,NT AUTHORITY\NETWORK SERVICE,FF8B6A41-F280-63E5-5201-000000000200,4732,MicrosoftÂ® WindowsÂ® Operating System,,-,,,,,,,,2,WIN-4CKB6CSHOSJ\gerald,2023-02-10 07:30:08.168,Microsoft-Windows-Sysmon/Operational,WIN-4CKB6CSHOSJ,,1,640,2964,4368,0x8000000000000000,4,0,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,S-1-5-18,1,5
